uid,bloco,fontes,citado_por_ambas,ref_ids,status,duplicata_de,inspire_id,autor_ref,primeiro_autor,n_autores,ano_ref,ano_inspire,data_inspire,arxiv,doi,journal,titulo,citacoes,citacoes_sem_auto,idade_anos,citacoes_por_ano,tipo_doc,raw
U0471,B24,GONZALEZ-GARCIA,NAO,G032,OK,,44871,E. Majorana,Majorana,1,1932,1932,1932,,,"Nuovo Cim. 9, 43",Oriented atoms in a variable magnetic field,586,586,94,6.23,article,"E. Majorana, Nuovo Cim. 9, 43 (1932)."
U0472,B24,AGOSTINI,NAO,A412,OK,,44519,Heisenberg,Heisenberg,1,1932,1932,1932,,,"Z. Phys. 77, 1-11",On the structure of atomic nuclei,502,501,94,5.34,article,"Heisenberg, W (1932a), “Über den bau der atomkerne. i,” Zeitschrift für Physik A Hadrons and Nuclei 77, 1-11."
U0473,B24,AGOSTINI,NAO,A413,NAO_ENCONTRADO,,,Heisenberg,Heisenberg,1,1932,,,,,"Z. Phys. 78, 156-164 (1932) [parte II da serie]",Über den bau der atomkerne. ii,,,94,,article,"Heisenberg, W (1932b), “Über den bau der atomkerne. ii,” Zeitschrift für Physik A Hadrons and Nuclei 78, 156-164."
U0474,B24,GONZALEZ-GARCIA,NAO,G030,OK,,2609860,L. Landau,Landau,1,1932,1932,1932,,,"Phys. Z. Sowjetunion 2, 46",A theory of energy transfer. 2.,721,721,94,7.67,article,"L. Landau, Phys. Z. Sov. 2, 46 (1932)."
U0475,B24,AGOSTINI,NAO,A213,NAO_ENCONTRADO,,,Chadwick,Chadwick,1,1933,,,,,"Proc. Roy. Soc. Lond. A 142, 1-25 (1933) [Bakerian Lecture]",Bakerian lecture. the neutron,,,93,,article,"Chadwick, J (1933), “Bakerian lecture. the neutron,” Proceedings Mathematical Physical and Engineering Sciences 142, 1-25."
U0476,B24,AGOSTINI,NAO,A414,NAO_ENCONTRADO,,,Heisenberg,Heisenberg,1,1933,,,,,"Z. Phys. 80, 587-596 (1933) [parte III da serie]",Über den bau der atomkerne. iii,,,93,,article,"Heisenberg, W (1933), “Über den bau der atomkerne. iii,” Zeitschrift für Physik A Hadrons and Nuclei 80, 587-596."
U0477,B24,AGOSTINI,NAO,A514,NAO_ENCONTRADO,,,Majorana,Majorana,1,1933,,,,,"Z. Phys. 82, 137-145 (1933)",Über die kerntheorie,,,93,,article,"Majorana, E (1933), “Über die kerntheorie,” Zeitschrift für Physik A Hadrons and Nuclei 82, 137-145."
U0478,B24,AGOSTINI,NAO,A320,OK,,3203,Fermi,Fermi,1,1934,1934,1934-03,,,"Z. Phys. 88, 161-177",An attempt of a theory of beta radiation. 1.,1906,1906,92,20.72,article,"Fermi, E (1934), “Versuch einer theorie der β-strahlen. i,” Zeitschrift für Physik A Hadrons and Nuclei 88, 161-177."
U0479,B24,AGOSTINI,NAO,A717,NAO_ENCONTRADO,,,Wick,Wick,1,1934,,,,,"Rendiconti dell'Accademia dei Lincei 19, 69-72 (1934)",Sugli elementi radioattivi di F. Joliot e I. Curie,,,92,,article,"Wick, G C (1934), “Sugli elementi radioattivi di F. Joliot e I. Curie,” Rendiconti dell’Accademia dei Lincei 19, 69-72."
U0480,B24,AGOSTINI,NAO,A364;A365,OK,,42668,Goeppert-Mayer,Goeppert-Mayer,1,1935,1935,1935,,,"Phys. Rev. 48, 512-516",Double beta-disintegration,532,532,91,5.85,article,"Goeppert-Mayer, M (1935a), “Double beta-disintegration,” Phys. Rev. 48, 512-516."
U0481,B25,AGOSTINI,NAO,A497,NAO_ENCONTRADO,,,Leipunski,Leipunski,2,1936,,,,,"Math. Proc. Cambridge Phil. Soc. 32, 301 (1936)",Determination of the energy distribution of recoil atoms during β decay and the existence of the neutrino,,,90,,article,"Leipunski, A I; Rutherford, Lord (1936), “Determination of the energy distribution of recoil atoms during β decay and the existence of the neutrino,” Mathematical Proceedings of the Cambridge Philosophical Society 32, 301."
U0482,B25,AGOSTINI,NAO,A515,OK,,8251,Majorana,Majorana,1,1937,1937,1937-04,,,"Nuovo Cim. 14, 171-184",Teoria simmetrica dell'elettrone e del positrone,1720,1720,89,19.33,article,"Majorana, E (1937), “Teoria simmetrica dell’elettrone e del positrone,” Nuovo Cim. 14, 171-184."
U0483,B25,AGOSTINI,NAO,A604,OK,,42669,Racah,Racah,1,1937,1937,1937,,,"Nuovo Cim. 14, 322-328",On the symmetry of particle and antiparticle,305,305,89,3.43,article,"Racah, G (1937), “On the symmetry of particle and antiparticle,” Nuovo Cim. 14, 322-328."
U0484,B25,AGOSTINI,NAO,A241,NAO_ENCONTRADO,,,Crane,Crane,2,1938,,,,,"Phys. Rev. 53, 789-794 (1938)",New experimental evidence for the existence of a neutrino,,,88,,article,"Crane, H R, and J. Halpern (1938), “New experimental evidence for the existence of a neutrino,” Phys. Rev. 53, 789- 794."
U0485,B25,AGOSTINI,NAO,A348,OK,,47485,Furry,Furry,1,1938,1938,1938-07-01,,,"Phys. Rev. 54, 56-67",Note on the Theory of the Neutral Particle,35,34,88,0.4,article,"Furry, W H (1938), “Note on the Theory of the Neutral Particle,” Phys. Rev. 54, 56-67."
U0486,B25,AGOSTINI,NAO,A242,NAO_ENCONTRADO,,,Crane,Crane,2,1939,,,,,"Phys. Rev. 56, 232-237 (1939)",Further experiments on the recoil of the nucleus in beta-decay,,,87,,article,"Crane, H R, and J. Halpern (1939), “Further experiments on the recoil of the nucleus in beta-decay,” Phys. Rev. 56, 232-237."
U0487,B25,AGOSTINI,NAO,A349,OK,,42670,Furry,Furry,1,1939,1939,1939,,,"Phys. Rev. 56, 1184-1193",On transition probabilities in double beta-disintegration,811,811,87,9.32,article,"Furry, W H (1939), “On transition probabilities in double beta-disintegration,” Phys. Rev. 56, 1184-1193."
U0488,B25,AGOSTINI,NAO,A066,NAO_ENCONTRADO,,,Allen,Allen,1,1942,,,,,"Phys. Rev. 61, 692-697 (1942)",Experimental evidence for the existence of a neutrino,,,84,,article,"Allen, J S (1942), “Experimental evidence for the existence of a neutrino,” Phys. Rev. 61, 692-697."
U0489,B25,AGOSTINI,NAO,A707,OK,,1861475,Wang,Wang,1,1942,1942,1942-01-01,,,"Phys. Rev. 61, 97",A Suggestion on the Detection of the Neutrino,44,44,84,0.52,article,"Wang, K C (1942), “A suggestion on the detection of the neutrino,” Phys. Rev. 61, 97-97."
U0490,B25,AGOSTINI,NAO,A317,OK,,47804,Fano,Fano,1,1947,1947,1947-07-01,,,"Phys. Rev. 72, 26-29",Ionization Yield of Radiations. 2. The Fluctuations of the Number of Ions,325,325,79,4.11,article,"Fano, U (1947), “Ionization Yield of Radiations. 2. The Fluctuations of the Number of Ions,” Phys. Rev. 72, 26-29."
U0491,B25,AGOSTINI,NAO,A591,OK,,41407,Pontecorvo,Pontecorvo,1,1947,1947,1947,,,"Phys. Rev. 72, 246",Nuclear capture of mesons and the meson decay,101,96,79,1.28,article,"Pontecorvo, B (1947), “Nuclear capture of mesons and the meson decay,” Phys. Rev. 72, 246."
U0492,B25,AGOSTINI,NAO,A328;A407;A408;A600;A678,NAO_ENCONTRADO,,,Fireman,Fireman,1,1948,,,,,"Phys. Rev. 74, 1238 (1948)",Double Beta Decay,,,78,,article,"Fireman, E L (1948), “Double Beta Decay,” Phys. Rev. 74, 1238."
U0494,B25,AGOSTINI,NAO,A679,NAO_ENCONTRADO,,,Touschek,Touschek,1,1948,,,,,"Z. Phys. 125, 108-132 (1948)",Zur theorie des doppelten β-zerfalls,,,78,,article,"Touschek, B (1948), “Zur theorie des doppelten β-zerfalls,” Zeitschrift für Physik A Hadrons and Nuclei 125, 108-132."
U0969,B51,AGOSTINI,NAO,A603,OK,,25381,Puppi,"Puppi, G",1,1948,1948,1948,,,"Nuovo Cim. 5, 587-588",On Mesons in Cosmic Radiation. (In Italian),66,66,78,0.85,conference paper,"Puppi, G (1948), “On Mesons in Cosmic Radiation. (In Italian),” Meeting of the Italian School of Physics and Weak Interactions Bologna, Italy, April 26-28, 1984, Nuovo Cim. 5, 587-588, [,590(1948)]."
U0495,B25,AGOSTINI,NAO,A329,OK,,42671,Fireman,Fireman,1,1949,1949,1949,,,"Phys. Rev. 75, 323-324",A measurement of the half-life of double beta-decay from (50)Sn-124,46,45,77,0.6,article,"Fireman, E L (1949), “A measurement of the half-life of double beta-decay from (50)Sn-124,” Phys. Rev. 75, 323-324."
U0496,B25,AGOSTINI,NAO,A366,OK,,44721,Goeppert-Mayer,Goeppert-Mayer,1,1949,1949,1949-06,,,"Phys. Rev. 75, 1969-1970",On closed shells in nuclei. 2,794,793,77,10.31,article,"Goeppert-Mayer, M (1949), “On closed shells in nuclei. 2,” Phys. Rev. 75, 1969-1970."
U0497,B25,AGOSTINI,NAO,A402,OK,,1405635,Hanna,Hanna,2,1949,1949,1949-03,,,"Phys. Rev. 75, 983-984",The beta Spectrum of H3,58,55,77,0.75,article,"Hanna, G C, and B. Pontecorvo (1949), “The β Spectrum of H3 ,” Phys. Rev. 75, 983-984."
U0498,B25,AGOSTINI,NAO,A406,OK,,1591665,Haxel,Haxel,3,1949,1949,1949-06-01,,,"Phys. Rev. 75 (11), 1766","On the ""Magic Numbers"" in Nuclear Structure",495,495,77,6.43,article,"Haxel, O, J. H. D. Jensen, and H. E. Suess (1949), “On the ”Magic Numbers” in Nuclear Structure,” Phys. Rev. 75 (11), 1766-1766."
U0499,B25,AGOSTINI,NAO,A439,OK,,42673,Inghram,Inghram,2,1949,1949,1949,,,"Phys. Rev. 76, 1265-1266",On the double beta-process,49,49,77,0.64,article,"Inghram, M G, and J. H. Reynolds (1949), “On the double beta-process,” Phys. Rev. 76, 1265-1266."
U0500,B25,AGOSTINI,NAO,A655,OK,,8804,Steinberger,Steinberger,1,1949,1949,1949,,,"Phys.Rev. 76, 1180-1186",On the Use of subtraction fields and the lifetimes of some types of meson decay,339,335,77,4.4,article,"Steinberger, J (1949), “On the use of subtraction fields and the lifetimes of some types of meson decay,” Phys.Rev. 76, 1180-1186."
U0501,B26,AGOSTINI,NAO,A718,OK,,216309,Wigner,Wigner,1,1949,1949,1949,,,"Proc.Am.Phil.Soc. 93 (1949) No.7, 521-526",Invariance in physical theory,2,2,77,0.03,article,"Wigner, E P (1949), “Invariance in physical theory,” Proceedings of the American Philosophical Society 93 (7), 521-526."
U0502,B26,AGOSTINI,NAO,A440,OK,,42674,Inghram,Inghram,2,1950,1950,1950,,,"Phys.Rev. 78, 822",Double beta-decay of Te-130,153,153,76,2.01,article,"Inghram, M G, and J. H. Reynolds (1950), “Double betadecay of Te-130,” Phys. Rev. 78, 822-823."
U0503,B26,AGOSTINI,NAO,A501,OK,,42675,Levine,Levine,3,1950,1950,1950,,,"Phys.Rev. 77, 296",Half-life of double beta-decay,15,15,76,0.2,article,"Levine, C A, A. Ghiorso, and G. T. Seaborg (1950), “Half-life of double beta-decay,” Phys. Rev. 77, 296."
U0504,B26,AGOSTINI,NAO,A491,NAO_ENCONTRADO,,,Lawson,Lawson,1,1951,,,,,"Phys.Rev. 81, 299 (bruto)",A lower limit on the half-life of Sn-124,,,75,,article,"Lawson, J S (1951), “A lower limit on the half-life of Sn-124,” Phys. Rev. 81, 299."
