uid,bloco,metodo,fontes,ref_ids,autor,ano,arxiv,doi,journal,titulo,raw
U0001,B01,arxiv,AGOSTINI;GONZALEZ-GARCIA,A359;G011,Gell-Mann,1979,1306.4669,,,Complex spinors and unified theories,"Gell-Mann, M, P. Ramond, and R. Slansky (1979), “Complex spinors and unified theories,” in Complex Spinors and Unified Theories, Vol. 790927, pp. 315-321, arXiv:1306.4669 [hep-th]."
U0002,B01,arxiv,GONZALEZ-GARCIA,G010,P. Ramond,1979,hep-ph/9809459,,,,"P. Ramond, in “International Symposium on Fundamentals of Quantum Theory and Quantum Field Theory,” (1979), [hep-ph/9809459]."
U0003,B01,arxiv,GONZALEZ-GARCIA,G008,A. Pilaftsis,1992,hep-ph/9901206,,Z. Phys.|C55|275,,"A. Pilaftsis, Z. Phys. C55, 275 (1992), [hep-ph/9901206]."
U0004,B01,arxiv,AGOSTINI,A121,Bahcall,1994,astro-ph/9401024,,,The Be-7 solar neutrino line: A Reflection of the central temperature distribution of the sun,"Bahcall, J N (1994), “The Be-7 solar neutrino line: A Reflection of the central temperature distribution of the sun,” Phys. Rev. D 49, 3923-3945, arXiv:astro-ph/9401024."
U0005,B01,arxiv,AGOSTINI,A122,Bahcall,1996,nucl-th/9601044,,,Standard neutrino spectrum from B-8 decay,"Bahcall, J N, E. Lisi, D. E. Alburger, L. De Braeckeleer, S. J. Freedman, and J. Napolitano (1996), “Standard neutrino spectrum from B-8 decay,” Phys. Rev. C 54, 411-422, arXiv:nucl-th/9601044."
U0006,B01,arxiv,AGOSTINI,A127,Balysh,1996,nucl-ex/9608001,,,Double beta decay of 48 Ca,"Balysh, A, A. S. De Silva, V. I. Lebedev, K. Lou, M. K. Moe, M. A. Nelson, A. Piepke, A. Pronsky, M. A. Vient, and P. Vogel (1996), “Double beta decay of 48 Ca,” Phys. Rev. Lett. 77, 5186-5189, arXiv:nucl-ex/9608001."
U0007,B01,arxiv,GONZALEZ-GARCIA,G218,J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia,1996,hep-ph/9504246,,Z. Phys.|C71|443,,"J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia, Z. Phys. C71, 443 (1996), [hep-ph/9504246]."
U0008,B01,arxiv,AGOSTINI,A456,Kajantie,1996,hep-lat/9510020,,,The Electroweak phase transition: A Nonperturbative analysis,"Kajantie, K, M. Laine, K. Rummukainen, and M. E. Shaposhnikov (1996), “The Electroweak phase transition: A Nonperturbative analysis,” Nucl. Phys. B 466, 189-258, arXiv:hep-lat/9510020."
U0009,B01,arxiv,AGOSTINI,A560,Nilles,1997,hep-ph/9606388,,,"Supersymmetric neutrino masses, r symmetries, and the generalized µ problem","Nilles, H-P, and N. Polonsky (1997), “Supersymmetric neutrino masses, r symmetries, and the generalized µ problem,” Nucl.Phys.B 484, 33-62, arXiv:hep-ph/9606388."
U0010,B01,arxiv,AGOSTINI,A050,Akhmedov,1998,hep-ph/9803255,,,Baryogenesis via neutrino oscillations,"Akhmedov, Evgeny K, V. A. Rubakov, and A. Yu. Smirnov (1998), “Baryogenesis via neutrino oscillations,” Phys. Rev. Lett. 81, 1359-1362, arXiv:hep-ph/9803255."
U0011,B01,arxiv,GONZALEZ-GARCIA,G187,C. Kim and U. Lee,1998,hep-ph/9809491,,Phys.Lett.|B444|204,,"C. Kim and U. Lee, Phys.Lett. B444, 204 (1998), [hep-ph/9809491]."
U0012,B01,arxiv,GONZALEZ-GARCIA,G184,M. Chizhov,1998,hep-ph/9810501,,,,"M. Chizhov, M. Maris and S. Petcov (1998), SISSA-53-98-EP, [hep-ph/9810501]."
U0013,B01,arxiv,GONZALEZ-GARCIA,G181,S. Petcov,1998,hep-ph/9805262,,Phys.Lett.|B434|321,,"S. Petcov, Phys.Lett. B434, 321 (1998), [hep-ph/9805262]."
U0014,B01,arxiv,AGOSTINI,A691,Vissani,1998,hep-ph/9709409,,,Do experiments suggest a hierarchy problem?,"Vissani, F (1998a), “Do experiments suggest a hierarchy problem?” Phys. Rev. D 57, 7027-7030, arXiv:hep-ph/9709409."
U0015,B01,arxiv,AGOSTINI,A692,Vissani,1998,hep-ph/9810435,,,"Large mixing, family structure, and dominant block in the neutrino mass matrix","Vissani, F (1998b), “Large mixing, family structure, and dominant block in the neutrino mass matrix,” JHEP 11, 025, arXiv:hep-ph/9810435."
U0016,B01,arxiv,GONZALEZ-GARCIA,G053,Y. Fukuda et al. (Super-Kamiokande),1998,hep-ex/9805021,,Phys. Rev. Lett.|81|1158,,"Y. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 81, 1158 (1998), [Erratum: Phys.Rev.Lett. 81, 4279 (1998)], [hep-ex/9805021]."
U0017,B01,arxiv,GONZALEZ-GARCIA,G086,Y. Fukuda et al. (Super-Kamiokande),1998,hep-ex/9807003,,Phys. Rev. Lett.|81|1562,,"Y. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 81, 1562 (1998), [hep-ex/9807003]."
U0018,B01,arxiv,GONZALEZ-GARCIA,G183,E. K. Akhmedov,1999,hep-ph/9805272,,Nucl.Phys.|B538|25,,"E. K. Akhmedov, Nucl.Phys. B538, 25 (1999), [hep-ph/9805272]."
U0019,B01,arxiv,GONZALEZ-GARCIA,G182,E. K. Akhmedov et al.,1999,hep-ph/9808270,,Nucl.Phys.|B542|3,,"E. K. Akhmedov et al., Nucl.Phys. B542, 3 (1999), [hep-ph/9808270]."
U0020,B01,arxiv,GONZALEZ-GARCIA,G185,M. Chizhov and S. Petcov,1999,hep-ph/9903399,,Phys.Rev.Lett.|83|1096,,"M. Chizhov and S. Petcov, Phys.Rev.Lett. 83, 1096 (1999), [hep-ph/9903399]."
U0021,B02,arxiv,GONZALEZ-GARCIA,G188,O. Peres and A. Y. Smirnov,1999,hep-ph/9902312,,Phys.Lett.|B456|204,,"O. Peres and A. Y. Smirnov, Phys.Lett. B456, 204 (1999), [hep-ph/9902312]."
U0022,B02,arxiv,GONZALEZ-GARCIA,G089,V. D. Barger et al.,1999,astro-ph/9810121,,Phys. Rev. Lett.|82|2640,,"V. D. Barger et al., Phys. Rev. Lett. 82, 2640 (1999), [arXiv:astro-ph/9810121]."
U0023,B02,arxiv,AGOSTINI,A693,Vissani,1999,hep-ph/9906525,,,"Signal of neutrinoless double beta decay, neutrino spectrum and oscillation scenarios","Vissani, F (1999), “Signal of neutrinoless double beta decay, neutrino spectrum and oscillation scenarios,” JHEP 06, 022, arXiv:hep-ph/9906525."
U0024,B02,arxiv,GONZALEZ-GARCIA,G176,A. Cervera et al.,2000,hep-ph/0002108,,Nucl. Phys.|B579|17,,"A. Cervera et al., Nucl. Phys. B579, 17 (2000), [Erratum: Nucl. Phys.B593,731(2001)], [hep-ph/0002108]."
U0025,B02,arxiv,AGOSTINI,A172,Boger,2000,nucl-ex/9910016,,,The Sudbury neutrino observatory,"Boger, J, et al. (SNO) (2000), “The Sudbury neutrino observatory,” Nucl. Instrum. Meth. A 449, 172-207, arXiv:nucl-ex/9910016."
U0026,B02,arxiv,GONZALEZ-GARCIA,G090,E. Lisi,2000,hep-ph/0002053,,Phys. Rev. Lett.|85|1166,,"E. Lisi, A. Marrone and D. Montanino, Phys. Rev. Lett. 85, 1166 (2000), [hep-ph/0002053]."
U0027,B02,arxiv,AGOSTINI,A423,Hirsch,2000,hep-ph/0004115,,,Neutrino masses and mixings from supersymmetry with bilinear r parity violation: A theory for solar and atmospheric neutrino oscillations,"Hirsch, M, M.A. Diaz, W. Porod, J.C. Romao, and J.W.F. Valle (2000a), “Neutrino masses and mixings from supersymmetry with bilinear r parity violation: A theory for solar and atmospheric neutrino oscillations,” Phys.Rev.D 62, 113008, [Erratum: Phys.Rev.D 65, 119901 (2002)], arXiv:hep-ph/0004115."
U0028,B02,arxiv,AGOSTINI,A424,Hirsch,2000,hep-ph/0002264,,,Bilinear R-parity violating SUSY: Neutrinoless double beta decay in the light of solar and atmospheric neutrino data,"Hirsch, M, J. C. Romao, and J. W. F. Valle (2000b), “Bilinear R-parity violating SUSY: Neutrinoless double beta decay in the light of solar and atmospheric neutrino data,” Phys. Lett. B 486, 255-262, arXiv:hep-ph/0002264."
U0029,B02,arxiv,GONZALEZ-GARCIA,G128,A. Aguilar-Arevalo et al. (LSND),2001,hep-ex/0104049,,Phys. Rev.|D64|112007,,"A. Aguilar-Arevalo et al. (LSND), Phys. Rev. D64, 112007 (2001), [hep-ex/0104049]."
U0030,B02,arxiv,AGOSTINI;GONZALEZ-GARCIA,A041;G060,Ahmad,2001,nucl-ex/0106015,,Phys. Rev. Lett.|87|071301,Measurement of the rate of νe + d → p + p + e− interactions produced by 8 B solar neutrinos at the Sudbury Neutrino Observatory,"Ahmad, Q R, et al. (SNO) (2001), “Measurement of the rate of νe + d → p + p + e− interactions produced by 8 B solar neutrinos at the Sudbury Neutrino Observatory,” Phys. Rev. Lett. 87, 071301, arXiv:nucl-ex/0106015."
U0031,B02,arxiv,AGOSTINI,A118,Babu,2001,hep-ph/0106054,,,Classification of effective neutrino mass operators,"Babu, K S, and C. N. Leung (2001), “Classification of effective neutrino mass operators,” Nucl.Phys.B 619, 667-689, arXiv:hep-ph/0106054."
U0032,B02,arxiv,GONZALEZ-GARCIA,G234,F. Vissani,2001,hep-ph/0012018,,Nucl. Phys. B Proc. Suppl.|100|273,,"F. Vissani, Nucl. Phys. B Proc. Suppl. 100, 273 (2001), [hep-ph/0012018]."
U0033,B02,arxiv,AGOSTINI,A465,Klapdor-Kleingrothaus,2001,hep-ph/0201231,,,Evidence for neutrinoless double beta decay,"Klapdor-Kleingrothaus, H V, A. Dietz, H. L. Harney, and I. V. Krivosheina (2001a), “Evidence for neutrinoless double beta decay,” Mod. Phys. Lett. A 16, 2409-2420, arXiv:hep-ph/0201231."
U0034,B02,arxiv,AGOSTINI,A468,Klapdor-Kleingrothaus,2001,hep-ph/0103062,,,Latest results from the Heidelberg-Moscow double beta decay experiment,"Klapdor-Kleingrothaus, H V, et al. (2001b), “Latest results from the Heidelberg-Moscow double beta decay experiment,” Eur. Phys. J. A 12, 147-154, arXiv:hep-ph/0103062."
U0035,B02,arxiv,GONZALEZ-GARCIA,G087,M. Ambrosio et al. (MACRO),2001,hep-ex/0106049,,Phys. Lett.|B517|59,,"M. Ambrosio et al. (MACRO), Phys. Lett. B517, 59 (2001), [hep-ex/0106049]."
U0036,B02,arxiv,GONZALEZ-GARCIA,G177,M. Freund,2001,hep-ph/0103300,,Phys. Rev.|D64|053003,,"M. Freund, Phys. Rev. D64, 053003 (2001), [hep-ph/0103300]."
U0037,B02,titulo,AGOSTINI,A578,Pas,2001,,,,A Superformula for neutrinoless double beta decay. 2. The Short range part,"Pas, H, M. Hirsch, H. V. Klapdor-Kleingrothaus, and S. G. Kovalenko (2001), “A Superformula for neutrinoless double beta decay. 2. The Short range part,” Phys. Lett. B 498, 35-39."
U0038,B02,arxiv,GONZALEZ-GARCIA,G056,S. Fukuda et al. (Super-Kamiokande),2001,hep-ex/0103033,,Phys. Rev. Lett.|86|5656,,"S. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 86, 5656 (2001), [hep-ex/0103033]."
U0039,B02,arxiv,GONZALEZ-GARCIA,G061,S. Fukuda et al. (Super-Kamiokande),2001,hep-ex/0103032,,Phys. Rev. Lett.|86|5651,,"S. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 86, 5651 (2001), [hep-ex/0103032]."
U0040,B02,arxiv,GONZALEZ-GARCIA,G106,S. H. Ahn et al. (K2K),2001,hep-ex/0103001,,Phys. Lett. B|511|178,,"S. H. Ahn et al. (K2K), Phys. Lett. B 511, 178 (2001), [hep-ex/0103001]."
U0041,B03,arxiv,AGOSTINI,A694,Vissani,2001,hep-ph/0102236,,,Expected properties of massive neutrinos for mass matrices with a dominant block and random coefficients order unity,"Vissani, F (2001), “Expected properties of massive neutrinos for mass matrices with a dominant block and random coefficients order unity,” Phys. Lett. B 508, 79-84, arXiv:hep-ph/0102236."
U0042,B03,arxiv,GONZALEZ-GARCIA,G235,Y. Farzan,2001,hep-ph/0105105,,Nucl. Phys.|B612|59,,"Y. Farzan, O. L. G. Peres and A. Yu. Smirnov, Nucl. Phys. B612, 59 (2001), [hep-ph/0105105]."
U0043,B03,arxiv,AGOSTINI,A743,Zuber,2001,nucl-ex/0105018,,,COBRA: Double beta decay searches using CdTe detectors,"Zuber, K (2001), “COBRA: Double beta decay searches using CdTe detectors,” Phys. Lett. B 519, 1-7, arXiv:nucl-ex/0105018."
U0044,B03,arxiv,AGOSTINI,A003,Aalseth,2002,hep-ex/0202018,,,Comment on ‘Evidence for neutrinoless double beta decay’,"Aalseth, C E, et al. (2002), “Comment on ‘Evidence for neutrinoless double beta decay’,” Mod. Phys. Lett. A 17, 1475- 1478, arXiv:hep-ex/0202018."
U0045,B03,arxiv,GONZALEZ-GARCIA,G129,B. Armbruster et al. (KARMEN),2002,hep-ex/0203021,,Phys. Rev.|D65|112001,,"B. Armbruster et al. (KARMEN), Phys. Rev. D65, 112001 (2002), [hep-ex/0203021]."
U0046,B03,arxiv,AGOSTINI,A219,Choi,2002,hep-ph/0207180,,,Operator analysis of neutrinoless double beta decay,"Choi, K, K. S. Jeong, and W. Y. Song (2002), “Operator analysis of neutrinoless double beta decay,” Phys.Rev.D 66, 093007, arXiv:hep-ph/0207180."
U0047,B03,arxiv,AGOSTINI,A279,Dolgov,2002,hep-ph/0202122,,,Neutrinos in cosmology,"Dolgov, A D (2002), “Neutrinos in cosmology,” Phys. Rept. 370, 333-535, arXiv:hep-ph/0202122."
U0048,B03,arxiv,AGOSTINI,A322,Feruglio,2002,hep-ph/0201291,,,Neutrino oscillations and signals in beta and 0nu2beta experiments,"Feruglio, F, A. Strumia, and F. Vissani (2002), “Neutrino oscillations and signals in beta and 0nu2beta experiments,” Nucl. Phys. B 637, 345-377, [Addendum: Nucl.Phys.B 659, 359-362 (2003)], hep-ph/0201291."
U0049,B03,arxiv,GONZALEZ-GARCIA,G047,J. N. Abdurashitov et al. (SAGE),2002,astro-ph/0204245,,J. Exp. Theor. Phys.|95|181,,"J. N. Abdurashitov et al. (SAGE), J. Exp. Theor. Phys. 95, 181 (2002), [Zh. Eksp. Teor. Fiz.122,211(2002)], [arXiv:astro-ph/0204245]."
U0050,B03,arxiv,AGOSTINI,A523,Matsuda,2002,hep-ph/0108202,,,How far can the SO(10) two Higgs model describe the observed neutrino masses and mixings?,"Matsuda, K, Y. Koide, T. Fukuyama, and H. Nishiura (2002), “How far can the SO(10) two Higgs model describe the observed neutrino masses and mixings?” Phys. Rev. D 65, 033008, [Erratum: Phys.Rev.D 65, 079904 (2002)], arXiv:hep-ph/0108202."
U0051,B03,arxiv,GONZALEZ-GARCIA,G062,Q. R. Ahmad et al. (SNO),2002,nucl-ex/0204008,,Phys. Rev. Lett.|89|011301,,"Q. R. Ahmad et al. (SNO), Phys. Rev. Lett. 89, 011301 (2002), [arXiv:nucl-ex/0204008]."
U0052,B03,arxiv,GONZALEZ-GARCIA,G059,S. Fukuda et al. (Super-Kamiokande),2002,hep-ex/0205075,,Phys. Lett.|B539|179,,"S. Fukuda et al. (Super-Kamiokande), Phys. Lett. B539, 179 (2002), [hep-ex/0205075]."
U0053,B03,arxiv,GONZALEZ-GARCIA,G204,Y. Farzan and A. Yu. Smirnov,2002,hep-ph/0201105,,Phys. Rev.|D65|113001,,"Y. Farzan and A. Yu. Smirnov, Phys. Rev. D65, 113001 (2002), [hep-ph/0201105]."
U0054,B03,arxiv,AGOSTINI,A234,Conti,2003,hep-ex/0303008,,,Correlated fluctuations between luminescence and ionization in liquid xenon,"Conti, E, et al. (EXO-200) (2003), “Correlated fluctuations between luminescence and ionization in liquid xenon,” Phys. Rev. B 68, 054201, arXiv:hep-ex/0303008."
U0055,B03,titulo,AGOSTINI,A255,Day,2003,,,,A broadband superconducting detector suitable for use in large arrays,"Day, P, H. Leduc, B. Mazin, A. Vayonakis, and J. Zmuidzinas (2003), “A broadband superconducting detector suitable for use in large arrays,” Nature 425, 817-21."
U0056,B03,arxiv,AGOSTINI;GONZALEZ-GARCIA,A292;G151,Eguchi,2003,hep-ex/0212021,,Phys. Rev. Lett.|90|021802,First results from KamLAND: Evidence for reactor anti-neutrino disappearance,"Eguchi, K, et al. (KamLAND) (2003), “First results from KamLAND: Evidence for reactor anti-neutrino disappearance,” Phys. Rev. Lett. 90, 021802, arXiv:hep-ex/0212021."
U0057,B03,arxiv,GONZALEZ-GARCIA,G076,G. Battistoni et al.,2003,hep-ph/0207035,,Astropart. Phys.|19|269,,"G. Battistoni et al., Astropart. Phys. 19, 269 (2003), [Erratum: Astropart. Phys.19,291(2003)], [hep-ph/0207035]."
U0058,B03,arxiv,GONZALEZ-GARCIA,G191,J. Bernabeu,2003,hep-ph/0305152,,Nucl.Phys.|B669|255,,"J. Bernabeu, S. Palomares Ruiz and S. Petcov, Nucl.Phys. B669, 255 (2003), [hep-ph/0305152]."
U0059,B03,arxiv,GONZALEZ-GARCIA,G006,M. C. Gonzalez-Garcia and Y. Nir,2003,hep-ph/0202058,,Rev. Mod. Phys.|75|345,,"M. C. Gonzalez-Garcia and Y. Nir, Rev. Mod. Phys. 75, 345 (2003), [hep-ph/0202058]."
U0060,B03,arxiv,GONZALEZ-GARCIA,G088,M. C. Sanchez et al. (Soudan 2),2003,hep-ex/0307069,,Phys. Rev.|D68|113004,,"M. C. Sanchez et al. (Soudan 2), Phys. Rev. D68, 113004 (2003), [hep-ex/0307069]."
U0061,B04,arxiv,GONZALEZ-GARCIA,G178,E. K. Akhmedov et al.,2004,hep-ph/0402175,,JHEP|04|078,,"E. K. Akhmedov et al., JHEP 04, 078 (2004), [hep-ph/0402175]."
U0062,B04,arxiv,AGOSTINI,A300,Elliott,2004,hep-ph/0405078,,,Double beta decay,"Elliott, S R, and J. Engel (2004), “Double beta decay,” J. Phys. G 30, R183-R215, arXiv:hep-ph/0405078."
U0063,B04,arxiv,AGOSTINI,A332,Fogli,2004,hep-ph/0408045,,,Observables sensitive to absolute neutrino masses: Constraints and correlations from world neutrino data,"Fogli, GL, E. Lisi, A. Marrone, A. Melchiorri, A. Palazzo, P. Serra, and J. Silk (2004), “Observables sensitive to absolute neutrino masses: Constraints and correlations from world neutrino data,” Phys.Rev.D 70, 113003, arXiv:hep-ph/0408045."
U0064,B04,arxiv,AGOSTINI,A467,Klapdor-Kleingrothaus,2004,hep-ph/0404088,,,Search for neutrinoless double beta decay with enriched Ge-76 in Gran Sasso 1990-2003,"Klapdor-Kleingrothaus, H V, I. V. Krivosheina, A. Dietz, and O. Chkvorets (2004), “Search for neutrinoless double beta decay with enriched Ge-76 in Gran Sasso 1990-2003,” Phys. Lett. B 586, 198-212, arXiv:hep-ph/0404088."
U0065,B04,arxiv,GONZALEZ-GARCIA,G189,M. Gonzalez-Garcia,2004,hep-ph/0408170,,Phys.Rev.|D70|093005,,"M. Gonzalez-Garcia, M. Maltoni and A. Y. Smirnov, Phys.Rev. D70, 093005 (2004), [hep-ph/0408170]."
U0066,B04,arxiv,GONZALEZ-GARCIA,G180,O. L. G. Peres and A. Yu. Smirnov,2004,hep-ph/0309312,,Nucl. Phys.|B680|479,,"O. L. G. Peres and A. Yu. Smirnov, Nucl. Phys. B680, 479 (2004), [hep-ph/0309312]."
U0067,B04,arxiv,AGOSTINI,A725,Wulandari,2004,hep-ex/0312050,,,Neutron flux underground revisited,"Wulandari, H, J. Jochum, W. Rau, and F. von Feilitzsch (2004), “Neutron flux underground revisited,” Astropart. Phys. 22, 313-322, arXiv:hep-ex/0312050."
U0068,B04,arxiv,GONZALEZ-GARCIA,G091,Y. Ashie et al. (Super-Kamiokande),2004,hep-ex/0404034,,Phys. Rev. Lett.|93|101801,,"Y. Ashie et al. (Super-Kamiokande), Phys. Rev. Lett. 93, 101801 (2004), [hep-ex/0404034]."
U0069,B04,arxiv,AGOSTINI,A103,Asaka,2005,hep-ph/0503065,,,"The nuMSM, dark matter and neutrino masses","Asaka, Takehiko, Steve Blanchet, and Mikhail Shaposhnikov (2005), “The nuMSM, dark matter and neutrino masses,” Phys. Lett. B 631, 151-156, arXiv:hep-ph/0503065."
U0070,B04,arxiv,GONZALEZ-GARCIA,G058,B. Aharmim et al. (SNO),2005,nucl-ex/0502021,,Phys. Rev.|C72|055502,,"B. Aharmim et al. (SNO), Phys. Rev. C72, 055502 (2005), [arXiv:nucl-ex/0502021]."
U0071,B04,arxiv,AGOSTINI,A163,Bezrukov,2005,hep-ph/0505247,,,nu MSM-predictions for neutrinoless double beta decay,"Bezrukov, F L (2005), “nu MSM-predictions for neutrinoless double beta decay,” Phys. Rev. D 72, 071303, arXiv:hep-ph/0505247."
U0072,B04,arxiv,GONZALEZ-GARCIA,G175,H. Nunokawa,2005,hep-ph/0503283,,Phys. Rev.|D72|013009,,"H. Nunokawa, S. J. Parke and R. Zukanovich Funchal, Phys. Rev. D72, 013009 (2005), [hep-ph/0503283]."
U0073,B04,arxiv,GONZALEZ-GARCIA,G040,J. N. Bahcall,2005,astro-ph/0412440,,,,"J. N. Bahcall, A. M. Serenelli and S. Basu, Astrophys. J. 621, L85 (2005), [arXiv:astro-ph/0412440]."
U0074,B04,arxiv,GONZALEZ-GARCIA,G049,M. Altmann et al. (GNO),2005,hep-ex/0504037,,Phys. Lett.|B616|174,,"M. Altmann et al. (GNO), Phys. Lett. B616, 174 (2005), [hep-ex/0504037]."
U0075,B04,arxiv,GONZALEZ-GARCIA,G173,S. Goswami and A. Yu. Smirnov,2005,hep-ph/0411359,,Phys. Rev.|D72|053011,,"S. Goswami and A. Yu. Smirnov, Phys. Rev. D72, 053011 (2005), [hep-ph/0411359]."
U0076,B04,arxiv,GONZALEZ-GARCIA,G152,T. Araki et al. (KamLAND),2005,hep-ex/0406035,,Phys. Rev. Lett.|94|081801,,"T. Araki et al. (KamLAND), Phys. Rev. Lett. 94, 081801 (2005), [hep-ex/0406035]."
U0077,B04,arxiv,AGOSTINI,A124,Bajc,2006,hep-ph/0510139,,,Yukawa sector in non-supersymmetric renormalizable SO(10),"Bajc, B, A. Melfo, G. Senjanovic, and F. Vissani (2006), “Yukawa sector in non-supersymmetric renormalizable SO(10),” Phys. Rev. D 73, 055001, arXiv:hep-ph/0510139."
U0078,B04,arxiv,AGOSTINI,A199,Caldwell,2006,physics/0608249,,,Signal discovery in sparse spectra: A Bayesian analysis,"Caldwell, A, and K. Kroninger (2006), “Signal discovery in sparse spectra: A Bayesian analysis,” Phys. Rev. D 74, 092003, arXiv:physics/0608249."
U0079,B04,titulo,AGOSTINI,A273,Depuydt,2006,,,,Germanium: From the first application of czochralski crystal growth to large diameter dislocation-free wafers,"Depuydt, B, A. Theuwis, and I. Romandic (2006), “Germanium: From the first application of czochralski crystal growth to large diameter dislocation-free wafers,” Materials Science in Semiconductor Processing 9 (4), 437 - 443, proceedings of Symposium T E-MRS 2006 Spring Meeting on Germanium based semiconductors from materials to devices."
U0080,B04,arxiv,GONZALEZ-GARCIA,G075,G. D. Barr et al.,2006,astro-ph/0611266,,Phys. Rev.|D74|094009,,"G. D. Barr et al., Phys. Rev. D74, 094009 (2006), [arXiv:astro-ph/0611266]."
U0081,B05,arxiv,GONZALEZ-GARCIA,G179,H. Minakata et al.,2006,hep-ph/0607284,,Phys. Rev.|D74|053008,,"H. Minakata et al., Phys. Rev. D74, 053008 (2006), [hep-ph/0607284]."
U0082,B05,arxiv,GONZALEZ-GARCIA,G117,M. H. Ahn et al. (K2K),2006,hep-ex/0606032,,Phys. Rev.|D74|072003,,"M. H. Ahn et al. (K2K), Phys. Rev. D74, 072003 (2006), [hep-ex/0606032]."
U0083,B05,arxiv,AGOSTINI,A528,Mei,2006,astro-ph/0512125,,,Muon-induced background study for underground laboratories,"Mei, D, and A. Hime (2006), “Muon-induced background study for underground laboratories,” Phys. Rev. D 73, 053004, arXiv:astro-ph/0512125."
U0084,B05,arxiv,GONZALEZ-GARCIA,G174,N. Okamura,2006,hep-ph/0411388,,Prog. Theor. Phys.|114|1045,,"N. Okamura, Prog. Theor. Phys. 114, 1045 (2006), [hep-ph/0411388]."
U0085,B05,arxiv,GONZALEZ-GARCIA,G022,S. Antusch et al.,2006,hep-ph/0607020,,JHEP|10|084,,"S. Antusch et al., JHEP 10, 084 (2006), [hep-ph/0607020]."
U0086,B05,arxiv,GONZALEZ-GARCIA,G192,S. Petcov and T. Schwetz,2006,hep-ph/0511277,,Nucl.Phys.|B740|1,,"S. Petcov and T. Schwetz, Nucl.Phys. B740, 1 (2006), [hep-ph/0511277]."
U0087,B05,arxiv,AGOSTINI,A266,Deppisch,2007,hep-ph/0612165,,,Pinning down the mechanism of neutrinoless double beta decay with measurements in different nuclei,"Deppisch, F, and H. Pas (2007), “Pinning down the mechanism of neutrinoless double beta decay with measurements in different nuclei,” Phys. Rev. Lett. 98, 232501, arXiv:hep-ph/0612165."
U0088,B05,arxiv,GONZALEZ-GARCIA,G186,E. K. Akhmedov,2007,hep-ph/0612285,,JHEP|0705|077,,"E. K. Akhmedov, M. Maltoni and A. Y. Smirnov, JHEP 0705, 077 (2007), [hep-ph/0612285]."
U0089,B05,arxiv,AGOSTINI,A357,Gehman,2007,hep-ph/0701099,,,Multiple-Isotope Comparison for Determining 0 nu beta beta Mechanisms,"Gehman, V M, and S. R. Elliott (2007), “Multiple-Isotope Comparison for Determining 0 nu beta beta Mechanisms,” J. Phys. G 34, 667-678, [Erratum: J.Phys.G 35, 029701 (2008)], arXiv:hep-ph/0701099."
U0090,B05,arxiv,GONZALEZ-GARCIA,G103,S. E. Kopp,2007,physics/0609129,,Phys. Rept.|439|101,,"S. E. Kopp, Phys. Rept. 439, 101 (2007), [arXiv:physics/0609129]."
U0091,B05,titulo,AGOSTINI,A112,Avignone III,2008,,,,"Double beta decay, Majorana neutrinos, and neutrino mass","Avignone III, F T, S. R. Elliott, and J. Engel (2008), “Double beta decay, Majorana neutrinos, and neutrino mass,” Rev. Mod. Phys. 80, 481."
U0092,B05,arxiv,GONZALEZ-GARCIA,G065,C. Arpesella et al. (Borexino),2008,0708.2251,,Phys. Lett. B|658|101,,"C. Arpesella et al. (Borexino), Phys. Lett. B 658, 101 (2008), [arXiv:0708.2251]."
U0093,B05,arxiv,GONZALEZ-GARCIA,G046,C. Pena-Garay and A. Serenelli (2008),2008,0811.2424,,,,"C. Pena-Garay and A. Serenelli (2008), [arXiv:0811.2424]."
U0094,B05,arxiv,GONZALEZ-GARCIA,G105,D. G. Michael et al. (MINOS),2008,0805.3170,,Nucl. Instrum. Meth. A|596|190,,"D. G. Michael et al. (MINOS), Nucl. Instrum. Meth. A 596, 190 (2008), [arXiv:0805.3170]."
U0095,B05,arxiv,GONZALEZ-GARCIA,G190,E. K. Akhmedov,2008,0804.1466,,JHEP|0806|072,,"E. K. Akhmedov, M. Maltoni and A. Y. Smirnov, JHEP 0806, 072 (2008), [arXiv:0804.1466]."
U0096,B05,arxiv,AGOSTINI,A315,Faessler,2008,0710.3199,,,Pion dominance in RPV SUSY induced neutrinoless double beta decay,"Faessler, Amand, Thomas Gutsche, Sergey Kovalenko, and Fedor Simkovic (2008), “Pion dominance in RPV SUSY induced neutrinoless double beta decay,” Phys. Rev. D 77, 113012, arXiv:0710.3199 [hep-ph]."
U0097,B05,arxiv,AGOSTINI,A499,Leonard,2008,0709.4524,,,Systematic study of trace radioactive impurities in candidate construction materials for EXO-200,"Leonard, D S, et al. (2008), “Systematic study of trace radioactive impurities in candidate construction materials for EXO-200,” Nucl. Instrum. Meth. A 591, 490-509, arXiv:0709.4524 [physics.ins-det]."
