uid,bloco,metodo,fontes,ref_ids,autor,ano,arxiv,doi,journal,titulo,raw
U0945,B49,titulo,AGOSTINI,A298,Ekström,2014,,,,Effects of three-nucleon forces and two-body currents on Gamow- Teller strengths,"Ekström, A, G. R. Jansen, K. A. Wendt, G. Hagen, T. Papenbrock, S. Bacca, B. Carlsson, and D. Gazit (2014), “Effects of three-nucleon forces and two-body currents on Gamow- Teller strengths,” Phys. Rev. Lett. 113 (26), 262504."
U0946,B49,titulo,AGOSTINI,A539,Menéndez,2014,,,,Correlations and neutrinoless ββ decay nuclear matrix elements of pf -shell nuclei,"Menéndez, J, T. R. Rodrı́guez, G. Martı́nez-Pinedo, and A. Poves (2014), “Correlations and neutrinoless ββ decay nuclear matrix elements of pf -shell nuclei,” Phys. Rev. C 90, 024311."
U0947,B49,arxiv,AGOSTINI,A579,Päs,2015,1507.00170,,,Neutrinoless Double Beta Decay,"Päs, H, and W. Rodejohann (2015), “Neutrinoless Double Beta Decay,” New J. Phys. 17 (11), 115010, arXiv:1507.00170 [hep-ph]."
U0948,B49,arxiv,AGOSTINI,A418,Hernández,2016,1606.06719,,,Testable Baryogenesis in Seesaw Models,"Hernández, P, M. Kekic, J. López-Pavón, J. Racker, and J. Salvado (2016), “Testable Baryogenesis in Seesaw Models,” JHEP 08, 157, arXiv:1606.06719 [hep-ph]."
U0949,B49,arxiv,AGOSTINI,A519,Martı́n-Albo,2016,1511.09246,,,Sensitivity of NEXT- 100 to Neutrinoless Double Beta Decay,"Martı́n-Albo, J, et al. (NEXT) (2016), “Sensitivity of NEXT- 100 to Neutrinoless Double Beta Decay,” JHEP 05, 159, arXiv:1511.09246 [physics.ins-det]."
U0950,B49,titulo,AGOSTINI,A534,Menéndez,2016,,,,Testing the importance of collective correlations in neutrinoless ββ decay,"Menéndez, J, N. Hinohara, J. Engel, G. Martı́nez-Pinedo, and T. R. Rodréguez (2016), “Testing the importance of collective correlations in neutrinoless ββ decay,” Phys. Rev. C 93, 014305."
U0951,B49,titulo,AGOSTINI,A553,Navrátil,2016,,,,Unified ab initio approaches to nuclear structure and reactions,"Navrátil, P, S. Quaglioni, G. Hupin, C. Romero-Redondo, and A. Calci (2016), “Unified ab initio approaches to nuclear structure and reactions,” Phys. Scripta 91, 053002."
U0952,B49,titulo,AGOSTINI,A470,Klein,2017,,,,,"Klein, J (2017), personal communication."
U0953,B49,titulo,AGOSTINI,A687,Van Isacker,2017,,,,Neutronproton pairing and double-β decay in the interacting boson model,"Van Isacker, P, J. Engel, and K. Nomura (2017), “Neutronproton pairing and double-β decay in the interacting boson model,” Phys. Rev. C 96, 064305."
U0954,B49,arxiv,AGOSTINI,A051,Al Kharusi,2018,1805.11142,,,nEXO Pre-Conceptual Design Report,"Al Kharusi, S, et al. (nEXO) (2018), “nEXO Pre-Conceptual Design Report,” arXiv:1805.11142 [physics.ins-det]."
U0955,B49,titulo,AGOSTINI,A232,Coello Pérez,2018,,,,Gamow-Teller and double-β decays of heavy nuclei within an effective theory,"Coello Pérez, E A, J. Menéndez, and A. Schwenk (2018), “Gamow-Teller and double-β decays of heavy nuclei within an effective theory,” Phys. Rev. C 98, 045501."
U0956,B49,titulo,AGOSTINI,A256,De Bianchi,2018,,,,Rethinking antiparticles. Hermann Weyl’s contribution to neutrino physics,"De Bianchi, S (2018), “Rethinking antiparticles. Hermann Weyl’s contribution to neutrino physics,” Stud. Hist. Phil. Sci. B 61, 68-79."
