uid,eixo_num,eixo,tipo,fontes,ano,citacoes,primeiro_autor,n_autores,journal,titulo
U0449,8,Limites experimentais sobre m_ββ e escala absoluta de massa,Direta,GONZALEZ-GARCIA,2024,230,Abe,,,Search for Majorana Neutrinos with the Complete KamLAND-Zen Dataset
U0451,8,Limites experimentais sobre m_ββ e escala absoluta de massa,Direta,GONZALEZ-GARCIA,2024,50,Agrawal,,"Phys. Rev. Lett. 134, 8, 082501",Improved limit on neutrinoless double beta decay of 100Mo from AMoRE-I
U0455,8,Limites experimentais sobre m_ββ e escala absoluta de massa,Direta,GONZALEZ-GARCIA,2024,362,Aker,,"Science 388, 6743, adq9592",Direct neutrino-mass measurement based on 259 days of KATRIN data
U0017,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,1998,9245,Fukuda,121,"Phys.Rev.Lett. 81, 1562",Evidence for oscillation of atmospheric neutrinos
U0030,9,Evidência de massa e parâmetros de oscilação,Direta,AGOSTINI;GONZALEZ-GARCIA,2001,3884,Ahmad,178,"Phys.Rev.Lett.87,071301",Measurement of the rate of nu_e+d -> p+p+e- interactions produced by 8B solar neutrinos at the Sudbury Neutrino Observatory
U0051,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,2002,5290,Ahmad,178,"Phys. Rev. Lett. 89, 011301",Direct evidence for neutrino flavor transformation from neutral current interactions in the Sudbury Neutrino Observatory
U0140,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,2012,3224,An,270,"Phys.Rev.Lett.108,171803",Observation of electron-antineutrino disappearance at Daya Bay
U0188,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,2014,699,Gonzalez-Garcia,3,"JHEP,11,052",Updated fit to three neutrino mixing: status of leptonic CP violation
U0353,9,Evidência de massa e parâmetros de oscilação,Direta,AGOSTINI,2020,1665,Esteban,5,JHEP 09 (2020) 178,The fate of hints: updated global analysis of three-flavor neutrino oscillations
U0401,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,2020,959,de Salas,,"JHEP 02, 071",2020 global reassessment of the neutrino oscillation picture
U0389,9,Evidência de massa e parâmetros de oscilação,Direta,AGOSTINI,2021,295,Capozzi,6,"Phys.Rev.D 104, 083031",The unfinished fabric of the three neutrino paradigm
U0447,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,2024,741,Esteban,,"JHEP 12, 216",NuFit-6.0: updated global analysis of three-flavor neutrino oscillations
U0452,9,Evidência de massa e parâmetros de oscilação,Direta,GONZALEZ-GARCIA,2025,93,Capozzi,,"Phys. Rev. D 111, 9, 093006",Neutrino masses and mixing: Entering the era of subpercent precision
