ref_id,fonte,autor,ano,arxiv,doi,titulo,raw
A694,AGOSTINI,Vissani,2001,hep-ph/0102236,,Expected properties of massive neutrinos for mass matrices with a dominant block and random coefficients order unity,"Vissani, F (2001), “Expected properties of massive neutrinos for mass matrices with a dominant block and random coefficients order unity,” Phys. Lett. B 508, 79-84, arXiv:hep-ph/0102236."
A695,AGOSTINI,Vissani,2021,2103.02642,,"What Is Matter According to Particle Physics, and Why Try to Observe Its Creation in a Lab?","Vissani, F (2021), “What Is Matter According to Particle Physics, and Why Try to Observe Its Creation in a Lab?” Universe 7 (3), 61, arXiv:2103.02642 [hep-ph]."
A696,AGOSTINI,Vogel,2012,1208.1992,,Nuclear structure and double beta decay,"Vogel, P (2012a), “Nuclear structure and double beta decay,” J. Phys. G 39, 124002, arXiv:1208.1992 [nucl-th]."
A697,AGOSTINI,Vogel,2012,,,Nuclear structure and double beta decay,"Vogel, P (2012b), “Nuclear structure and double beta decay,” J. Phys. G: Nucl. Part. Phys. 39, 124002."
A698,AGOSTINI,Vogel,1988,,,Sum Rules for Two Particle Operators and Double Beta Decay,"Vogel, P, M. Ericson, and J. D. Vergados (1988), “Sum Rules for Two Particle Operators and Double Beta Decay,” Phys. Lett. B 212, 259-263."
A699,AGOSTINI,Vogel,1986,,,Suppression of the Two Neutrino Double beta Decay by Nuclear Structure Effects,"Vogel, P, and M. R. Zirnbauer (1986), “Suppression of the Two Neutrino Double beta Decay by Nuclear Structure Effects,” Phys. Rev. Lett. 57, 3148-3151."
A700,AGOSTINI,Volpe,2000,,,Microscopic theories of neutrino C-12 reactions,"Volpe, C, N. Auerbach, G. Colo, T. Suzuki, and N. Van Giai (2000), “Microscopic theories of neutrino C-12 reactions,” Phys. Rev. C 62, 015501."
A701,AGOSTINI,Šimkovic,2001,,,The Single state dominance hypothesis and the two neutrino double beta decay of Mo-100,"Šimkovic, F, P. Domin, and S. V. Semenov (2001), “The Single state dominance hypothesis and the two neutrino double beta decay of Mo-100,” J. Phys. G 27, 2233-2240."
A702,AGOSTINI,Šimkovic,2018,,,Improved description of the 2νββ -decay and a possibility to determine the effective axial-vector coupling constant,"Šimkovic, F, R. Dvornický, Dušaň Stefánik, and A. Faessler (2018a), “Improved description of the 2νββ -decay and a possibility to determine the effective axial-vector coupling constant,” Phys. Rev. C 97, 034315."
A703,AGOSTINI,Šimkovic,2009,,,The 0νββ-decay nuclear matrix elements with self-consistent short-range correlations,"Šimkovic, F, A. Faessler, H. Muther, V. Rodin, and M. Stauf (2009), “The 0νββ-decay nuclear matrix elements with self-consistent short-range correlations,” Phys. Rev. C 79, 055501."
A704,AGOSTINI,Šimkovic,2013,,,"0νββ and 2νββ nuclear matrix elements, quasiparticle random-phase approximation, and isospin symmetry restoration","Šimkovic, F, V. Rodin, A. Faessler, and P. Vogel (2013), “0νββ and 2νββ nuclear matrix elements, quasiparticle random-phase approximation, and isospin symmetry restoration,” Phys. Rev. C 87, 045501."
A705,AGOSTINI,Šimkovic,2018,,,"0νββ nuclear matrix elements, neutrino potentials and SU(4) symmetry","Šimkovic, F, A. Smetana, and P. Vogel (2018b), “0νββ nuclear matrix elements, neutrino potentials and SU(4) symmetry,” Phys. Rev. C 98, 064325."
A706,AGOSTINI,Walz,2015,,,Observation of the competitive double-gamma nuclear decay,"Walz, C, et al. (2015), “Observation of the competitive double-gamma nuclear decay,” Nature 526, 406."
