ref_id,fonte,autor,ano,arxiv,doi,titulo,raw
A001,AGOSTINI,Aalbers,2016,1606.07001,,DARWIN: towards the ultimate dark matter detector,"Aalbers, J, et al. (DARWIN) (2016), “DARWIN: towards the ultimate dark matter detector,” JCAP 11, 017, arXiv:1606.07001 [astro-ph.IM]."
A002,AGOSTINI,Aalseth,2005,,,"[aip topical workshop on low radioactivity techniques: Lrt 2004 - sudbury, ontario (canada) (12- 14 december 2004)] aip conference proceedings - ultra-lowbackground copper production and clean fabrication","Aalseth, C E (2005), “[aip topical workshop on low radioactivity techniques: Lrt 2004 - sudbury, ontario (canada) (12- 14 december 2004)] aip conference proceedings - ultra-lowbackground copper production and clean fabrication,”."
A003,AGOSTINI,Aalseth,2002,hep-ex/0202018,,Comment on ‘Evidence for neutrinoless double beta decay’,"Aalseth, C E, et al. (2002), “Comment on ‘Evidence for neutrinoless double beta decay’,” Mod. Phys. Lett. A 17, 1475- 1478, arXiv:hep-ex/0202018."
A004,AGOSTINI,Aaltonen,2022,,,High-precision measurement of the W boson mass with the CDF II detector,"Aaltonen, T, et al. (CDF) (2022), “High-precision measurement of the W boson mass with the CDF II detector,” Science 376 (6589), 170-176."
A005,AGOSTINI,Abe,2012,,10.1016/j.nima.2011.09.051,Radon removal from gaseous xenon with activated charcoal,"Abe, K, et al. (2012a), “Radon removal from gaseous xenon with activated charcoal,” Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment 661, 10.1016/j.nima.2011.09.051."
A006,AGOSTINI,Abe,2014,1311.4750,,Observation of Electron Neutrino Appearance in a Muon Neutrino Beam,"Abe, K, et al. (T2K) (2014), “Observation of Electron Neutrino Appearance in a Muon Neutrino Beam,” Phys. Rev. Lett. 112, 061802, arXiv:1311.4750 [hep-ex]."
A007,AGOSTINI,Abe,2022,2203.02139,,First Search for the Majorana Nature of Neutrinos in the Inverted Mass Ordering Region with KamLAND-Zen,"Abe, S, et al. (KamLAND-Zen) (2022), “First Search for the Majorana Nature of Neutrinos in the Inverted Mass Ordering Region with KamLAND-Zen,” arXiv:2203.02139 [hep-ex]."
A008,AGOSTINI,Abe,2012,,,"Benchmarks of the full configuration interaction, Monte Carlo shell model, and no-core full configuration methods","Abe, T, P. Maris, T. Otsuka, N. Shimizu, Y. Utsuno, and J. P. Vary (2012b), “Benchmarks of the full configuration interaction, Monte Carlo shell model, and no-core full configuration methods,” Phys. Rev. C 86, 054301."
A009,AGOSTINI,Aberle,2014,1307.5813,,Measuring Directionality in Double-Beta Decay and Neutrino Interactions with Kiloton-Scale Scintillation Detectors,"Aberle, C, A. Elagin, H.J. Frisch, M. Wetstein, and L. Winslow (2014), “Measuring Directionality in Double-Beta Decay and Neutrino Interactions with Kiloton-Scale Scintillation Detectors,” JINST 9, P06012, arXiv:1307.5813 [physics.ins-det]."
A010,AGOSTINI,Aberle,2013,1307.4742,,Optical Properties of Quantum-Dot-Doped Liquid Scintillators,"Aberle, C, J. J. Li, S. Weiss, and L. Winslow (2013), “Optical Properties of Quantum-Dot-Doped Liquid Scintillators,” JINST 8, P10015, arXiv:1307.4742 [physics.ins-det]."
A011,AGOSTINI,Abgrall,2014,1308.1633,,The Majorana Demonstrator Neutrinoless Double-Beta Decay Experiment,"Abgrall, N, et al. (Majorana) (2014), “The Majorana Demonstrator Neutrinoless Double-Beta Decay Experiment,” Adv. High Energy Phys. 2014, 365432, arXiv:1308.1633 [physics.ins-det]."
A012,AGOSTINI,Abgrall,2015,1502.01748,,The Majorana Parts Tracking Database,"Abgrall, N, et al. (Majorana) (2015), “The Majorana Parts Tracking Database,” Nucl. Instrum. Meth. A 779, 52-62, arXiv:1502.01748 [physics.ins-det]."
A013,AGOSTINI,Abgrall,2017,1612.00886,,"New limits on Bosonic Dark Matter, Solar Axions, Pauli Exclusion Principle Violation, and Electron Decay from the Majorana Demonstrator","Abgrall, N, et al. (Majorana) (2017), “New limits on Bosonic Dark Matter, Solar Axions, Pauli Exclusion Principle Violation, and Electron Decay from the Majorana Demonstrator,” Phys. Rev. Lett. 118 (16), 161801, arXiv:1612.00886 [nucl-ex]."
A014,AGOSTINI,Abgrall,2021,2107.11462,,The Large Enriched Germanium Experiment for Neutrinoless ββ Decay: LEGEND-1000 Preconceptual Design Report,"Abgrall, N, et al. (LEGEND) (2021), “The Large Enriched Germanium Experiment for Neutrinoless ββ Decay: LEGEND-1000 Preconceptual Design Report,” arXiv:2107.11462 [physics.ins-det]."
A015,AGOSTINI,Abi,2021,2104.03281,,Measurement of the Positive Muon Anomalous Magnetic Moment to 0.46 ppm,"Abi, B, et al. (Muon g-2) (2021), “Measurement of the Positive Muon Anomalous Magnetic Moment to 0.46 ppm,” Phys. Rev. Lett. 126 (14), 141801, arXiv:2104.03281 [hep-ex]."
A016,AGOSTINI,Abusleme,2021,2104.02565,,JUNO Physics and Detector,"Abusleme, A, et al. (JUNO) (2021), “JUNO Physics and Detector,” arXiv:2104.02565 [hep-ex]."
A017,AGOSTINI,Ackermann,2013,1212.4067,,The GERDA experiment for the search of 0νββ decay in 76 Ge,"Ackermann, K H, et al. (GERDA) (2013), “The GERDA experiment for the search of 0νββ decay in 76 Ge,” Eur. Phys. J. C73 (3), 2330, arXiv:1212.4067 [physics.ins-det]."
A018,AGOSTINI,Adams,2021,2005.06467,,Sensitivity of a tonnescale NEXT detector for neutrinoless double beta decay searches,"Adams, C, et al. (NEXT) (2021a), “Sensitivity of a tonnescale NEXT detector for neutrinoless double beta decay searches,” JHEP 2021 (08), 164, arXiv:2005.06467 [physics.ins-det]."
A019,AGOSTINI,Adams,2021,2012.11749,,Measurement of the 2νββ Decay Half-Life of 130 Te with CUORE,"Adams, D Q, et al. (CUORE) (2021b), “Measurement of the 2νββ Decay Half-Life of 130 Te with CUORE,” Phys. Rev. Lett. 126 (17), 171801, arXiv:2012.11749 [nucl-ex]."
A020,AGOSTINI,Adams,2022,2104.06906,,Search for Majorana neutrinos exploiting millikelvin cryogenics with CUORE,"Adams, D Q, et al. (CUORE) (2022), “Search for Majorana neutrinos exploiting millikelvin cryogenics with CUORE,” Nature 604 (7904), 53-58, arXiv:2104.06906 [nucl-ex]."
A021,AGOSTINI,Adhikari,2022,2106.16243,,nEXO: neutrinoless double beta decay search beyond 1028 year half-life sensitivity,"Adhikari, G, et al. (nEXO) (2022), “nEXO: neutrinoless double beta decay search beyond 1028 year half-life sensitivity,” J. Phys. G 49 (1), 015104, arXiv:2106.16243 [nucl-ex]."
A022,AGOSTINI,Adler,1969,,,Axial vector vertex in spinor electrodynamics,"Adler, S L (1969), “Axial vector vertex in spinor electrodynamics,” Phys.Rev. 177, 2426-2438."
A023,AGOSTINI,Agafonova,2018,1804.04912,,Final results of the opera experiment on ν τ appearance in the cngs neutrino beam,"Agafonova, N, et al. (OPERA) (2018), “Final results of the opera experiment on ν τ appearance in the cngs neutrino beam,” Phys.Rev.Lett. 120 (21), 211801, [Erratum: Phys.Rev.Lett. 121, 139901 (2018)], arXiv:1804.04912 [hep-ex]."
A024,AGOSTINI,Aghanim,2018,1807.06209,,Planck 2018 results. VI. Cosmological parameters,"Aghanim, N, et al. (Planck) (2018), “Planck 2018 results. VI. Cosmological parameters,” arXiv:1807.06209 [astro-ph.CO]."
A025,AGOSTINI,Aghanim,2020,1807.06209,,Planck 2018 results. VI. Cosmological parameters,"Aghanim, N, et al. (Planck) (2020), “Planck 2018 results. VI. Cosmological parameters,” Astron. Astrophys. 641, A6, arXiv:1807.06209 [astro-ph.CO]."
A026,AGOSTINI,Agostini,2020,2003.13407,,Sensitivity of the DARWIN observatory to the neutrinoless double beta decay of 136 Xe,"Agostini, F, et al. (DARWIN) (2020a), “Sensitivity of the DARWIN observatory to the neutrinoless double beta decay of 136 Xe,” Eur. Phys. J. C 80 (9), 808, arXiv:2003.13407 [physics.ins-det]."
A027,AGOSTINI,Agostini,2021,2012.13938,,Discovery probabilities of Majorana neutrinos based on cosmological data,"Agostini, M, G. Benato, S. Dell’Oro, S. Pirro, and F. Vissani (2021a), “Discovery probabilities of Majorana neutrinos based on cosmological data,” Phys. Rev. D 103 (3), 033008, arXiv:2012.13938 [hep-ph]."
A028,AGOSTINI,Agostini,2017,1705.02996,,Discovery probability of next-generation neutrinoless double- β decay experiments,"Agostini, M, G. Benato, and J. Detwiler (2017), “Discovery probability of next-generation neutrinoless double- β decay experiments,” Phys.Rev.D 96 (5), 053001, arXiv:1705.02996 [hep-ex]."
A029,AGOSTINI,Agostini,2021,2107.09104,,Testing the inverted neutrino mass ordering with neutrinoless double-β decay,"Agostini, M, G. Benato, J. A. Detwiler, J. Menéndez, and F. Vissani (2021b), “Testing the inverted neutrino mass ordering with neutrinoless double-β decay,” Phys. Rev. C 104 (4), L042501, arXiv:2107.09104 [hep-ph]."
A030,AGOSTINI,Agostini,2021,2012.09281,,Search for Light Exotic Fermions in Double-Beta Decays,"Agostini, M, E. Bossio, A. Ibarra, and X. Marcano (2021c), “Search for Light Exotic Fermions in Double-Beta Decays,” Phys. Lett. B 815, 136127, arXiv:2012.09281 [hep-ph]."
A031,AGOSTINI,Agostini,2016,1506.06133,,Probing flavor models with76 Ge-based experiments on neutrinoless double-β decay,"Agostini, M, A. Merle, and K. Zuber (2016), “Probing flavor models with76 Ge-based experiments on neutrinoless double-β decay,” Eur. Phys. J. C 76 (4), 176, arXiv:1506.06133 [hep-ex]."
A032,AGOSTINI,Agostini,2013,1307.4720,,Results on Neutrinoless Double-β Decay of 76 Ge from Phase I of the GERDA Experiment,"Agostini, M, et al. (GERDA) (2013), “Results on Neutrinoless Double-β Decay of 76 Ge from Phase I of the GERDA Experiment,” Phys. Rev. Lett. 111 (12), 122503, arXiv:1307.4720 [nucl-ex]."
A033,AGOSTINI,Agostini,2015,1501.02345,,Results on ββ decay with emission of two neutrinos or Majorons in76 Ge from GERDA Phase I,"Agostini, M, et al. (GERDA) (2015), “Results on ββ decay with emission of two neutrinos or Majorons in76 Ge from GERDA Phase I,” Eur. Phys. J. C75 (9), 416, arXiv:1501.02345 [nucl-ex]."
A034,AGOSTINI,Agostini,2018,,,Comprehensive measurement of pp-chain solar neutrinos,"Agostini, M, et al. (BOREXINO) (2018a), “Comprehensive measurement of pp-chain solar neutrinos,” Nature 562 (7728), 505-510."
A035,AGOSTINI,Agostini,2018,1711.01452,,Upgrade for Phase II of the Gerda experiment,"Agostini, M, et al. (GERDA) (2018b), “Upgrade for Phase II of the Gerda experiment,” Eur. Phys. J. C78 (5), 388, arXiv:1711.01452 [physics.ins-det]."
A036,AGOSTINI,Agostini,2020,2009.06079,,Final Results of GERDA on the Search for Neutrinoless Double-β Decay,"Agostini, M, et al. (GERDA) (2020b), “Final Results of GERDA on the Search for Neutrinoless Double-β Decay,” Phys. Rev. Lett. 125 (25), 252502, arXiv:2009.06079 [nucl-ex]."
A037,AGOSTINI,Agostini,2020,1909.02522,,Modeling of GERDA Phase II data,"Agostini, M, et al. (GERDA) (2020c), “Modeling of GERDA Phase II data,” JHEP 03, 139, arXiv:1909.02522 [nucl-ex]."
A038,AGOSTINI,Agostini,2020,2005.14184,,The first search for bosonic super-WIMPs with masses up to 1 MeV/c2 with GERDA,"Agostini, M, et al. (GERDA) (2020d), “The first search for bosonic super-WIMPs with masses up to 1 MeV/c2 with GERDA,” Phys. Rev. Lett. 125 (1), 011801, arXiv:2005.14184 [hep-ex]."
A039,AGOSTINI,Agostini,2022,2112.11816,,First Directional Measurement of Sub-MeV Solar Neutrinos with Borexino,"Agostini, M, et al. (BOREXINO) (2022), “First Directional Measurement of Sub-MeV Solar Neutrinos with Borexino,” Phys. Rev. Lett. 128 (9), 091803, arXiv:2112.11816 [hep-ex]."
A040,AGOSTINI,Agrawal,2021,2102.12143,,Feebly-interacting particles: FIPs 2020 workshop report,"Agrawal, Prateek, et al. (2021), “Feebly-interacting particles: FIPs 2020 workshop report,” Eur. Phys. J. C 81 (11), 1015, arXiv:2102.12143 [hep-ph]."
A041,AGOSTINI,Ahmad,2001,nucl-ex/0106015,,Measurement of the rate of νe + d → p + p + e− interactions produced by 8 B solar neutrinos at the Sudbury Neutrino Observatory,"Ahmad, Q R, et al. (SNO) (2001), “Measurement of the rate of νe + d → p + p + e− interactions produced by 8 B solar neutrinos at the Sudbury Neutrino Observatory,” Phys. Rev. Lett. 87, 071301, arXiv:nucl-ex/0106015."
A042,AGOSTINI,Ahmed,2020,,,Interference Effects for 0νββ Decay in the Left-Right Symmetric Model,"Ahmed, F, and M. Horoi (2020), “Interference Effects for 0νββ Decay in the Left-Right Symmetric Model,” Phys. Rev. C 101, 035504."
A043,AGOSTINI,Ahmed,2017,,,Interference between light and heavy neutrinos for 0νββ decay in the left-right symmetric model,"Ahmed, F, A. Neacsu, and M. Horoi (2017), “Interference between light and heavy neutrinos for 0νββ decay in the left-right symmetric model,” Phys. Lett. B 769, 299-304."
A044,AGOSTINI,Ajimura,2021,2008.09288,,Low background measurement in CANDLES-III for studying the neutrino-less double beta decay of 48 Ca,"Ajimura, S, et al. (CANDLES) (2021), “Low background measurement in CANDLES-III for studying the neutrino-less double beta decay of 48 Ca,” Phys. Rev. D 103 (9), 092008, arXiv:2008.09288 [hep-ex]."
A045,AGOSTINI,Aker,2019,1909.06048,,An improved upper limit on the neutrino mass from a direct kinematic method by katrin,"Aker, M, et al. (KATRIN) (2019), “An improved upper limit on the neutrino mass from a direct kinematic method by katrin,” Phys.Rev.Lett. 123 (22), 221802, arXiv:1909.06048 [hep-ex]."
A046,AGOSTINI,Aker,2022,2105.08533,,Direct neutrino-mass measurement with sub-electronvolt sensitivity,"Aker, M, et al. (KATRIN) (2022), “Direct neutrino-mass measurement with sub-electronvolt sensitivity,” Nature Phys. 18 (2), 160-166, arXiv:2105.08533 [hep-ex]."
A047,AGOSTINI,Akerib,2015,1509.02910,,LUX-ZEPLIN (LZ) Conceptual Design Report,"Akerib, D S, et al. (LZ) (2015), “LUX-ZEPLIN (LZ) Conceptual Design Report,” arXiv:1509.02910 [physics.ins-det]."
A048,AGOSTINI,Akerib,2020,1912.04248,,Projected sensitivity of the LUX-ZEPLIN experiment to the 0νββ decay of 136 Xe,"Akerib, D S, et al. (LZ) (2020), “Projected sensitivity of the LUX-ZEPLIN experiment to the 0νββ decay of 136 Xe,” Phys. Rev. C 102 (1), 014602, arXiv:1912.04248 [nucl-ex]."
A049,AGOSTINI,Akhmedov,2013,1302.1872,,Improving Electro-Weak Fits with TeV-scale Sterile Neutrinos,"Akhmedov, E, A. Kartavtsev, M. Lindner, L. Michaels, and J. Smirnov (2013), “Improving Electro-Weak Fits with TeV-scale Sterile Neutrinos,” JHEP 05, 081, arXiv:1302.1872 [hep-ph]."
A050,AGOSTINI,Akhmedov,1998,hep-ph/9803255,,Baryogenesis via neutrino oscillations,"Akhmedov, Evgeny K, V. A. Rubakov, and A. Yu. Smirnov (1998), “Baryogenesis via neutrino oscillations,” Phys. Rev. Lett. 81, 1359-1362, arXiv:hep-ph/9803255."
A051,AGOSTINI,Al Kharusi,2018,1805.11142,,nEXO Pre-Conceptual Design Report,"Al Kharusi, S, et al. (nEXO) (2018), “nEXO Pre-Conceptual Design Report,” arXiv:1805.11142 [physics.ins-det]."
A052,AGOSTINI,Al Kharusi,2020,,,Measurement of the Spectral Shape of the β-Decay of 137 Xe to the Ground State of 137 Cs in EXO-200 and Comparison with Theory,"Al Kharusi, S, et al. (EXO-200) (2020), “Measurement of the Spectral Shape of the β-Decay of 137 Xe to the Ground State of 137 Cs in EXO-200 and Comparison with Theory,” Phys. Rev. Lett. 124, 232502, 2002.00108."
A053,AGOSTINI,Alanssari,2016,,,"Single and Double Beta-Decay Q Values among the Triplet Zr96 , Nb96 , and Mo96","Alanssari, M, et al. (2016a), “Single and Double Beta-Decay Q Values among the Triplet Zr96 , Nb96 , and Mo96,” Phys. Rev. Lett. 116 (7), 072501."
A054,AGOSTINI,Alanssari,2016,,,"Single and Double Beta-Decay Q Values among the Triplet Zr96 , Nb96 , and Mo96","Alanssari, M, et al. (2016b), “Single and Double Beta-Decay Q Values among the Triplet Zr96 , Nb96 , and Mo96,” Phys. Rev. Lett. 116 (7), 072501."
A055,AGOSTINI,Albanese,2021,2104.11687,,The SNO+ Experiment,"Albanese, V, et al. (SNO+) (2021), “The SNO+ Experiment,” arXiv:2104.11687 [physics.ins-det]."
A056,AGOSTINI,Albert,2014,1306.6106,,Improved measurement of the 2νββ half-life of 136 Xe with the EXO-200 detector,"Albert, J B, et al. (EXO-200) (2014), “Improved measurement of the 2νββ half-life of 136 Xe with the EXO-200 detector,” Phys. Rev. C89 (1), 015502, arXiv:1306.6106 [nucl-ex]."
A057,AGOSTINI,Albert,2018,1710.07670,,Search for nucleon decays with EXO-200,"Albert, J B, et al. (EXO-200) (2018), “Search for nucleon decays with EXO-200,” Phys. Rev. D 97 (7), 072007, arXiv:1710.07670 [hep-ex]."
A058,AGOSTINI,Alduino,2017,1705.10816,,CUORE sensitivity to 0νββ decay,"Alduino, C, et al. (CUORE) (2017a), “CUORE sensitivity to 0νββ decay,” Eur. Phys. J. C 77 (8), 532, arXiv:1705.10816 [physics.ins-det]."
A059,AGOSTINI,Alduino,2017,1609.01666,,Measurement of the two-neutrino double-beta decay half-life of130 Te with the CUORE-0 experiment,"Alduino, C, et al. (CUORE) (2017b), “Measurement of the two-neutrino double-beta decay half-life of130 Te with the CUORE-0 experiment,” Eur. Phys. J. C77 (1), 13, arXiv:1609.01666 [nucl-ex]."
A060,AGOSTINI,Alduino,2017,1704.08970,,The projected background for the CUORE experiment,"Alduino, C, et al. (CUORE) (2017c), “The projected background for the CUORE experiment,” Eur. Phys. J. C 77 (8), 543, arXiv:1704.08970 [physics.ins-det]."
A061,AGOSTINI,Alduino,2018,1710.07988,,First Results from CUORE: A Search for Lepton Number Violation via 0νββ Decay of 130 Te,"Alduino, C, et al. (CUORE) (2018), “First Results from CUORE: A Search for Lepton Number Violation via 0νββ Decay of 130 Te,” Phys. Rev. Lett. 120 (13), 132501, arXiv:1710.07988 [nucl-ex]."
A062,AGOSTINI,Alduino,2019,1904.05745,,The CUORE cryostat: An infrastructure for rare event searches at millikelvin temperatures,"Alduino, C, et al. (2019), “The CUORE cryostat: An infrastructure for rare event searches at millikelvin temperatures,” Cryogenics 102, 9-21, arXiv:1904.05745 [physics.ins-det]."
A063,AGOSTINI,Alekhin,2016,1504.04855,,A facility to Search for Hidden Particles at the CERN SPS: the SHiP physics case,"Alekhin, Sergey, et al. (2016), “A facility to Search for Hidden Particles at the CERN SPS: the SHiP physics case,” Rept. Prog. Phys. 79 (12), 124201, arXiv:1504.04855 [hep-ph]."
A064,AGOSTINI,Algeri,2019,1911.10237,,Searching for new physics with profile likelihoods: Wilks and beyond,"Algeri, S, J. Aalbers, K. Dundas Morå, and J. Conrad (2019), “Searching for new physics with profile likelihoods: Wilks and beyond,” arXiv:1911.10237 [physics.data-an]."
A065,AGOSTINI,Ali,2007,,,Probing new physics in the neutrinoless double beta decay using electron angular correlation,"Ali, A, A. V. Borisov, and D. V. Zhuridov (2007), “Probing new physics in the neutrinoless double beta decay using electron angular correlation,” Phys. Rev. D 76, 093009."
A066,AGOSTINI,Allen,1942,,,Experimental evidence for the existence of a neutrino,"Allen, J S (1942), “Experimental evidence for the existence of a neutrino,” Phys. Rev. 61, 692-697."
A067,AGOSTINI,Altarelli,2013,1305.1001,,A non supersymmetric SO(10) grand unified model for all the physics below MGU T ,"Altarelli, G, and D. Meloni (2013), “A non supersymmetric SO(10) grand unified model for all the physics below MGU T ,” JHEP 08, 021, arXiv:1305.1001 [hep-ph]."
A068,AGOSTINI,Alvarez,2012,1202.0721,,NEXT-100 Technical Design Report (TDR): Executive Summary,"Alvarez, V, et al. (NEXT) (2012), “NEXT-100 Technical Design Report (TDR): Executive Summary,” JINST 7, T06001, arXiv:1202.0721 [physics.ins-det]."
A069,AGOSTINI,Alvis,2018,1801.10145,,First Limit on the Direct Detection of Lightly Ionizing Particles for Electric Charge as Low as e/1000 with the Majorana Demonstrator,"Alvis, S I, et al. (Majorana) (2018), “First Limit on the Direct Detection of Lightly Ionizing Particles for Electric Charge as Low as e/1000 with the Majorana Demonstrator,” Phys. Rev. Lett. 120 (21), 211804, arXiv:1801.10145 [hep-ex]."
A070,AGOSTINI,Alvis,2019,1902.02299,,A Search for Neutrinoless Double-Beta Decay in 76 Ge with 26 kg-yr of Exposure from the MAJORANA DEMONSTRATOR,"Alvis, S I, et al. (Majorana) (2019a), “A Search for Neutrinoless Double-Beta Decay in 76 Ge with 26 kg-yr of Exposure from the MAJORANA DEMONSTRATOR,” Phys. Rev. C 100 (2), 025501, arXiv:1902.02299 [nucl-ex]."
A071,AGOSTINI,Alvis,2019,1812.01090,,Search for trinucleon decay in the Majorana Demonstrator,"Alvis, S I, et al. (Majorana) (2019b), “Search for trinucleon decay in the Majorana Demonstrator,” Phys. Rev. D 99 (7), 072004, arXiv:1812.01090 [hep-ex]."
A072,AGOSTINI,Ambrosio,1995,,,Vertical muon intensity measured with MACRO at the Gran Sasso Laboratory,"Ambrosio, M, et al. (MACRO) (1995), “Vertical muon intensity measured with MACRO at the Gran Sasso Laboratory,” Phys. Rev. D 52, 3793-3802."
A073,AGOSTINI,Anderson,2010,,,Operator Evolution via the Similarity Renormalization Group I: The Deuteron,"Anderson, E R, S. K. Bogner, R. J. Furnstahl, and R. J. Perry (2010), “Operator Evolution via the Similarity Renormalization Group I: The Deuteron,” Phys. Rev. C 82, 054001."
A074,AGOSTINI,Andringa,2016,1508.05759,,Current Status and Future Prospects of the SNO+ Experiment,"Andringa, S, et al. (SNO+) (2016), “Current Status and Future Prospects of the SNO+ Experiment,” Adv. High Energy Phys. 2016, 6194250, arXiv:1508.05759 [physics.insdet]."
A075,AGOSTINI,Anton,2019,1906.02723,,Search for Neutrinoless Double-β Decay with the Complete EXO-200 Dataset,"Anton, G, et al. (EXO-200) (2019), “Search for Neutrinoless Double-β Decay with the Complete EXO-200 Dataset,” Phys. Rev. Lett. 123 (16), 161802, arXiv:1906.02723 [hep-ex]."
A076,AGOSTINI,Anton,2020,1908.04128,,Measurement of the scintillation and ionization response of liquid xenon at MeV energies in the EXO-200 experiment,"Anton, G, et al. (EXO-200) (2020), “Measurement of the scintillation and ionization response of liquid xenon at MeV energies in the EXO-200 experiment,” Phys. Rev. C 101 (6), 065501, arXiv:1908.04128 [physics.ins-det]."
A077,AGOSTINI,Aprahamian,2015,,,Reaching for the horizon: The 2015 long range plan for nuclear science,"Aprahamian, Ani, et al. (2015), “Reaching for the horizon: The 2015 long range plan for nuclear science,” ."
A078,AGOSTINI,Aprile,2017,1702.06942,,Online222 Rn removal by cryogenic distillation in the XENON100 experiment,"Aprile, E, et al. (XENON100) (2017), “Online222 Rn removal by cryogenic distillation in the XENON100 experiment,” Eur. Phys. J. C 77 (6), 358, arXiv:1702.06942 [physics.insdet]."
A079,AGOSTINI,Aprile,2019,,,Observation of two-neutrino double electron capture in 124 Xe with XENON1T,"Aprile, E, et al. (XENON) (2019), “Observation of two-neutrino double electron capture in 124 Xe with XENON1T,” Nature 568, 532-535."
A080,AGOSTINI,Archidiacono,2017,1610.09852,,Physical effects involved in the measurements of neutrino masses with future cosmological data,"Archidiacono, M, T. Brinckmann, J. Lesgourgues, and V. Poulin (2017), “Physical effects involved in the measurements of neutrino masses with future cosmological data,” JCAP 02, 052, arXiv:1610.09852 [astro-ph.CO]."
A081,AGOSTINI,Argyriades,2010,0906.2694,,Measurement of the two neutrino double beta decay half-life of Zr-96 with the NEMO-3 detector,"Argyriades, J, et al. (NEMO-3) (2010), “Measurement of the two neutrino double beta decay half-life of Zr-96 with the NEMO-3 detector,” Nucl. Phys. A 847, 168-179, arXiv:0906.2694 [nucl-ex]."
A082,AGOSTINI,Arima,1976,,,Interacting boson model of collective states. 1. The Vibrational limit,"Arima, A, and F. Iachello (1976), “Interacting boson model of collective states. 1. The Vibrational limit,” Annals Phys. 99, 253-317."
A083,AGOSTINI,Arima,1978,,,Interacting boson model of collective nuclear states. II. The rotational limit,"Arima, A, and F. Iachello (1978), “Interacting boson model of collective nuclear states. II. The rotational limit,” Annals Phys. 111, 201-238."
A084,AGOSTINI,Arima,1987,,,Nuclear Magnetic Properties and Gamow-teller Transitions,"Arima, A, K. Shimizu, W. Bentz, and H. Hyuga (1987), “Nuclear Magnetic Properties and Gamow-teller Transitions,” Adv. Nucl. Phys. 18, 1-106."
A085,AGOSTINI,Arling,2021,,,Commissioning of the COBRA extended demonstrator at the LNGS,"Arling, J H, et al. (2021), “Commissioning of the COBRA extended demonstrator at the LNGS,” Nucl. Instrum. Meth. A 1010, 165524."
A086,AGOSTINI,Armatol,2020,2011.11726,,A novel technique for the study of pile-up events in cryogenic bolometers,"Armatol, A, et al. (CUPID) (2020), “A novel technique for the study of pile-up events in cryogenic bolometers,” arXiv:2011.11726 [physics.ins-det]."
A087,AGOSTINI,Armengaud,2020,1912.07272,,Precise measurement of 2νββ decay of 100 Mo with the CUPID-Mo detection technology,"Armengaud, E, et al. (2020a), “Precise measurement of 2νββ decay of 100 Mo with the CUPID-Mo detection technology,” Eur. Phys. J. C 80 (7), 674, arXiv:1912.07272 [nucl-ex]."
A088,AGOSTINI,Armengaud,2020,1909.02994,,The CUPID-Mo experiment for neutrinoless double-beta decay: performance and prospects,"Armengaud, E, et al. (2020b), “The CUPID-Mo experiment for neutrinoless double-beta decay: performance and prospects,” Eur. Phys. J. C 80 (1), 44, arXiv:1909.02994 [physics.ins-det]."
A089,AGOSTINI,Armengaud,2021,2011.13243,,New Limit for Neutrinoless Double-Beta Decay of 100 Mo from the CUPID- Mo Experiment,"Armengaud, E, et al. (CUPID) (2021), “New Limit for Neutrinoless Double-Beta Decay of 100 Mo from the CUPID- Mo Experiment,” Phys. Rev. Lett. 126 (18), 181802, arXiv:2011.13243 [nucl-ex]."
A090,AGOSTINI,Armstrong,2019,1907.09376,,CUPID pre-CDR,"Armstrong, W R, et al. (CUPID) (2019), “CUPID pre-CDR,” arXiv:1907.09376 [physics.ins-det]."
A091,AGOSTINI,Arnold,1995,,,Observation of two neutrino double beta decay of Cd-116 with the tracking detector NEMO-2,"Arnold, R, et al. (NEMO) (1995), “Observation of two neutrino double beta decay of Cd-116 with the tracking detector NEMO-2,” JETP Lett. 61, 170-174."
A092,AGOSTINI,Arnold,1996,,,Double-beta decay of Cd- 116,"Arnold, R, et al. (NEMO) (1996), “Double-beta decay of Cd- 116,” Z. Phys. C 72, 239-247."
A093,AGOSTINI,Arnold,1998,,,Double beta decay of Se- 82,"Arnold, R, et al. (NEMO) (1998), “Double beta decay of Se- 82,” Nucl. Phys. A 636, 209-223."
A094,AGOSTINI,Arnold,1999,,,Double beta decay of Zr-96,"Arnold, R, et al. (1999), “Double beta decay of Zr-96,” Nucl. Phys. A 658, 299-312."
A095,AGOSTINI,Arnold,2010,,,Probing New Physics Models of Neutrinoless Double Beta Decay with SuperNEMO,"Arnold, R, et al. (SuperNEMO) (2010), “Probing New Physics Models of Neutrinoless Double Beta Decay with SuperNEMO,” Eur. Phys. J. C 70, 927."
A096,AGOSTINI,Arnold,2015,1506.05825,,Results of the search for neutrinoless double-β decay in 100 Mo with the NEMO-3 experiment,"Arnold, R, et al. (NEMO-3) (2015), “Results of the search for neutrinoless double-β decay in 100 Mo with the NEMO-3 experiment,” Phys. Rev. D 92 (7), 072011, arXiv:1506.05825 [hep-ex]."
